,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,
CODIGO ACT.,ACTIVIDAD,JUL,AGO,SEP,OCT,NOV,DIC,ENE,FEB,MAR,ABR,MAY,JUN,PROM,PROM_ATIP,R2,REGR DIA,PROM DIA,MIN DIA,MAX DIA,CV,SUAV_EXP,MOD,%,% ACUM,ABC,GRAFICA
700578,"ENOXAPARINA 80MG/0,8ML SOL. INYECTABLE ",178,151,121,154,225,105,179,130,264,237,123,114,166,0,"0,00",6,6,6,9,"0,3032",6,SUAV,"0,1%","90,0%",B,
A0000051,ATORVASTATINA 20 MG TABLETA,143,652,175,441,101,82,67,64,60,75,37,68,164,0,"0,37",-2,6,6,22,"1,0987",6,SUAV,"0,1%","90,1%",B,
D006701,DEXAMETASONA 4MG/1ML SOL. INYECTABLE ,209,30,71,175,135,186,124,232,120,282,165,225,163,0,"0,25",8,6,6,10,"0,4186",6,SUAV,"0,1%","90,2%",B,
N0000020,ESOMEPRAZOL 40MG TABLETA ,149,197,161,218,194,110,208,271,74,63,155,133,162,0,"0,12",5,6,6,10,"0,3594",6,SUAV,"0,1%","90,3%",B,
701210,METIMAZOL TABLETA 5MG,43,26,94,452,499,111,110,42,148,107,81,207,160,0,"0,00",5,6,6,17,"0,9313",6,SUAV,"0,1%","90,4%",B,
A006011,ACICLOVIR TABLETA 200MG,157,136,0,119,110,277,254,239,153,265,177,27,160,1,"0,04",7,6,6,10,"0,5358",6,SUAV,"0,1%","90,5%",B,
702383,EXTENSION DE ANESTESIA PEDIATRICO,126,146,144,117,143,110,169,230,267,88,188,169,159,0,"0,14",7,6,6,9,"0,3075",6,SUAV,"0,1%","90,6%",B,
D015701,DICLOFENACO 75MG/3ML SOL. INYECTABLE ,123,173,153,164,212,188,174,134,202,168,115,88,158,0,"0,09",5,6,6,8,"0,2233",6,SUAV,"0,1%","90,7%",B,
719766,LIDOCAINA SOL. INYECTABLE 2% x 10ML,131,141,124,156,185,191,149,137,127,160,198,175,157,0,"0,20",6,6,5,7,"0,1574",6,SUAV,"0,1%","90,8%",B,
730036,"DIBEN DRINK SOLUCIÓN ORAL 1,5KCAL/1ML (300KCAL/200ML) ALIMENTO LÍQUIDO PARA ADMI",196,173,96,139,146,18,128,160,120,284,144,243,154,0,"0,09",7,6,6,10,"0,4236",6,SUAV,"0,1%","90,9%",B,
C001011,CALCIO CARBONATO 600MG TABLETA ,187,143,115,282,238,102,109,183,108,64,102,201,153,0,"0,10",4,6,6,10,"0,4084",6,SUAV,"0,1%","91,0%",B,
730040,"SUPPORTAN DRINK SOLUCIÓN ORAL 1,5KCAL/1ML (300KCAL/200ML)) ALIMENTO LIQUIDO RI",78,123,138,98,149,352,336,186,65,104,127,59,152,0,"0,00",5,6,6,12,"0,6113",5,SUAV,"0,1%","91,1%",B,
701943,BATON QUIRURGICO,204,138,121,118,143,170,166,214,363,186,0,0,152,2,"0,04",4,6,6,13,"0,6046",5,SUAV,"0,1%","91,2%",B,
703668,VALPROICO ÁCIDO 500MG/5 ML SOL. INYECTABLE,43,74,62,224,115,198,30,130,209,167,304,248,151,0,"0,48",9,6,6,11,"0,5602",5,SUAV,"0,1%","91,2%",B,
715706,CAUCHO TUBO P/SUCCION 3MT ESTERIL  ,122,135,121,127,122,152,166,170,152,146,198,199,151,0,"0,72",7,6,5,7,"0,1767",5,SUAV,"0,1%","91,3%",B,
719423,LOPINAVIR/RITONAVIR 80MG/20MG/ML SUSPENSION ORAL  ,0,0,0,0,0,0,0,0,0,0,712,1056,148,10,"0,42",19,5,5,36,"2,2760",6,SUAV,"0,1%","91,4%",B,
L016011,LORATADINA TABLETA 10MG,63,212,101,140,148,112,179,169,130,213,128,171,148,0,"0,14",6,5,5,8,"0,2877",5,SUAV,"0,1%","91,5%",B,
702585,CANULA NASAL OXIGENO ADULTO,124,163,139,160,140,138,156,129,120,165,156,152,146,0,"0,03",5,5,4,6,"0,1022",5,PROM,"0,1%","91,6%",B,
715385,CAFEINA CITRATO 20MG/ML SOL. INYECTABLE (10MG/ML CAFEINA BASE),98,95,91,72,67,56,253,262,355,39,227,137,146,0,"0,18",8,5,5,12,"0,6688",5,SUAV,"0,1%","91,7%",B,
H001701,HALOPERIDOL 5MG/1ML SOL. INYECTABLE ,90,106,72,137,141,154,183,129,192,198,110,212,144,0,"0,50",7,5,5,8,"0,3003",5,SUAV,"0,1%","91,8%",B,
718292,LORAZEPAM TABLETA 1MG,72,34,15,36,133,275,23,93,171,76,255,510,142,0,"0,43",11,5,5,17,"0,9784",5,SUAV,"0,1%","91,9%",B,
717274,PREGABALINA TABLETA 75MG,163,106,158,198,151,240,263,41,49,37,165,98,140,0,"0,12",4,5,5,9,"0,5122",5,SUAV,"0,1%","91,9%",B,
700850,TRANEXAMICO ACIDO 500MG  SOL. INYECTABLE,165,179,211,125,141,147,110,113,150,81,129,99,138,0,"0,53",4,5,5,8,"0,2510",5,SUAV,"0,1%","92,0%",B,
702261,JERINGA 50ML ROSCA,197,47,56,82,200,84,96,191,291,70,128,155,134,0,"0,06",6,5,5,10,"0,5324",5,SUAV,"0,1%","92,1%",B,
A023721,AMIODARONA 150MG/3ML SOL. INYECTABLE ,131,80,123,184,134,137,234,136,111,96,119,114,134,0,"0,01",5,5,5,8,"0,2902",5,SUAV,"0,1%","92,2%",B,
700575,"ENOXAPARINA 20MG/0,2ML SOL. INYECTABLE ",90,109,105,127,245,85,86,174,107,278,96,86,133,0,"0,02",5,5,5,10,"0,4718",5,SUAV,"0,1%","92,3%",B,
H006011,HIDROCLOROTIAZIDA TABLETA 25MG,159,105,157,131,128,143,148,114,162,78,157,98,132,0,"0,09",4,5,5,6,"0,2004",5,SUAV,"0,1%","92,3%",B,
C005011,CARBAMAZEPINA 200MG TABLETA ,109,49,74,148,128,186,102,142,265,86,110,168,131,0,"0,16",6,5,5,9,"0,4212",5,SUAV,"0,1%","92,4%",B,
C044721,CEFAZOLINA 1G SOL. INYECTABLE ,0,0,0,27,39,119,254,217,269,0,266,360,130,4,"0,59",11,5,5,12,"0,9937",5,SUAV,"0,1%","92,5%",B,
A023011,AMIODARONA TABLETA 200MG,133,44,123,132,133,72,164,115,136,191,121,172,128,0,"0,27",6,5,5,7,"0,3006",5,SUAV,"0,1%","92,6%",B,
702249,BISTURI # 11 ,86,129,130,121,130,118,142,129,140,95,164,139,127,0,"0,22",5,5,3,6,"0,1567",5,SUAV,"0,1%","92,6%",B,
F002141,FENITOINA 100MG TABLETA ,84,182,100,104,80,177,158,68,54,68,283,136,125,0,"0,03",5,5,5,10,"0,5083",5,SUAV,"0,1%","92,7%",B,
M020012,METRONIDAZOL 500MG TABLETA ,246,88,90,127,151,134,99,101,99,201,130,23,125,0,"0,13",3,5,5,9,"0,4389",5,SUAV,"0,1%","92,8%",B,
700694,LIDOCAINA CLORHIDRATO 2% JALEA 30G,100,130,103,105,103,148,140,118,138,112,195,94,124,0,"0,12",5,5,5,7,"0,2209",5,SUAV,"0,1%","92,9%",B,
705488,PROPANOLOL TABLETA 40MG,64,80,148,198,257,71,88,67,141,114,85,144,122,0,"0,00",4,5,5,9,"0,4665",5,SUAV,"0,1%","92,9%",B,
P035011,PROPRANOLOL TABLETA 40MG,64,80,148,198,257,71,88,67,141,114,85,144,122,0,"0,00",4,5,5,9,"0,4665",5,SUAV,"0,1%","93,0%",B,
A035722,AZTREONAM 1G POLVO LIOFILIZADO,87,138,162,116,173,129,154,161,126,43,92,71,121,0,"0,19",3,5,5,6,"0,3206",5,SUAV,"0,1%","93,1%",B,
C0000028,CLARITROMICINA TABLETA 500MG,77,105,185,118,117,160,162,69,98,24,78,237,120,0,"0,00",5,4,4,8,"0,4654",5,SUAV,"0,1%","93,1%",B,
M026161,MINOXIDIL TABLETA 10MG,153,99,48,66,167,140,70,106,120,95,138,220,119,0,"0,14",6,4,4,8,"0,3901",5,SUAV,"0,1%","93,2%",B,
730116,TEGADERM REF 1682 IV 5X5.7CM AVANCED-NIÑOS,123,133,113,138,116,83,120,145,148,44,116,146,119,0,"0,01",4,4,4,5,"0,2401",4,SUAV,"0,1%","93,3%",B,
E020722,ERITROPOYETINA 2.000UI/ML SOL. INYECTABLE,121,153,106,145,127,130,135,132,90,76,109,93,119,0,"0,39",4,4,4,6,"0,1890",4,SUAV,"0,1%","93,4%",B,
A026722,AMPICILINA 1 G POLVO LIOFILIZADO ,158,198,126,157,164,123,61,64,72,105,41,73,112,0,"0,68",2,4,4,7,"0,4288",4,SUAV,"0,1%","93,4%",B,
709736,"ALPRAZOLAM TABLETA 0,25 MG ",101,89,116,215,107,78,77,68,94,258,85,55,112,0,"0,00",4,4,4,9,"0,5234",4,SUAV,"0,1%","93,5%",B,
730083,EQUIPO PERFUSOR 20CC REF C0020C FRESENIUS,85,134,121,87,82,54,82,188,176,98,78,133,110,0,"0,04",5,4,4,7,"0,3588",4,SUAV,"0,1%","93,6%",B,
730230,ALIMENTO DE USO ESPECIAL CON HMB ARGININA Y GLUTAMINA SOBRE x 24 GRAMOS,170,130,96,93,62,121,134,98,95,175,78,58,110,0,"0,12",3,4,4,6,"0,3299",4,SUAV,"0,1%","93,6%",B,
720207,DIBEN 1.5 KCAL HP 1000 ML ALIMENTO LIQUIDO PARA USOS NUTRICIONALES ESPECIALES AL,53,126,154,61,38,118,178,103,109,68,106,177,108,0,"0,09",5,4,4,6,"0,4138",4,SUAV,"0,1%","93,7%",B,
701079,PREDNISONA TABLETA 50MG,69,111,71,115,85,131,88,58,56,179,225,83,106,0,"0,14",5,4,4,8,"0,4631",4,SUAV,"0,1%","93,8%",B,
700964,"ENSURE PLUS HN SOLUCIÓN ORAL 1,5KCAL/1ML (355,5KCAL/237ML) ALIMENTO DE USO ESPEC",198,243,163,45,18,12,125,59,199,126,35,20,104,0,"0,22",2,4,4,9,"0,7590",4,SUAV,"0,1%","93,8%",B,
R002251,POLIESTIRENO SULFONATO CÁLCICO POLVO PARA SUSPENSIÓN ORAL 15G,70,97,215,80,138,35,101,43,32,58,71,292,103,0,"0,01",4,4,4,10,"0,7279",4,SUAV,"0,1%","93,9%",B,
A006721,ACICLOVIR POLVO LIOFILIZADO 250MG,285,129,104,0,47,64,143,51,138,60,34,160,102,1,"0,08",3,4,4,10,"0,7183",4,SUAV,"0,1%","93,9%",B,
730037,"DIBEN SOLUCIÓN ORAL 1,05KCAL/1ML (525KCAL/500ML) ALIMENTO LÍQUIDO PARA ADMINISTR",219,60,80,80,61,82,48,95,115,155,155,73,102,0,"0,00",4,4,4,8,"0,4744",4,SUAV,"0,1%","94,0%",B,
L006012,LEVOTIROXINA TABLETA 100MCG,195,132,91,109,94,95,169,131,42,76,32,57,102,0,"0,47",2,4,4,7,"0,4595",4,SUAV,"0,1%","94,1%",B,
702673,RECOLECTOR/ORINA PED/BLX40  ,87,75,69,64,156,50,115,174,154,127,42,81,100,0,"0,03",4,4,4,6,"0,4258",4,SUAV,"0,1%","94,1%",B,
702262,JERINGA 50ML PUNTA CATETER,69,94,95,78,89,91,122,100,115,83,105,130,98,0,"0,43",4,4,3,5,"0,1758",4,SUAV,"0,1%","94,2%",B,
700820,DALTEPARINA SODICA 2.500 UI (ANTIFACTOR XA)  SOL. INYECTABLE,67,55,90,141,147,186,180,33,33,75,92,73,98,0,"0,02",3,4,4,7,"0,5206",4,SUAV,"0,1%","94,2%",B,
145933,LEVOTIROXINA SODICA TABLETA 25MCG,99,179,140,108,115,128,89,60,76,51,65,58,98,0,"0,64",2,4,4,6,"0,3786",4,SUAV,"0,1%","94,3%",B,
G003703,GENTAMICINA 80MG/2ML SOL. INYECTABLE ,79,108,64,117,101,99,110,72,75,107,140,89,97,0,"0,06",4,4,4,5,"0,2155",4,SUAV,"0,1%","94,3%",B,
707755,METOPROLOL SUCCINATO TABLETA 50MG,85,88,82,92,174,68,41,83,69,148,142,81,97,0,"0,03",4,4,4,6,"0,3792",4,SUAV,"0,1%","94,4%",B,
702055,SONDA NELATON # 14   ,79,109,72,55,126,146,43,156,90,71,136,67,96,0,"0,01",4,4,4,6,"0,3759",4,SUAV,"0,1%","94,5%",B,
715068,SET DE LINEA (CATETER ARTERIAL CATH 20X8),66,81,79,91,90,97,96,76,120,96,113,129,95,0,"0,67",5,4,3,5,"0,1874",4,SUAV,"0,1%","94,5%",B,
701855,VENDA SEMIELASTICA 6X4.1  ,130,110,81,105,103,127,102,165,92,63,54,0,95,1,"0,35",2,4,4,6,"0,4245",4,SUAV,"0,1%","94,6%",B,
F009101,FLUCONAZOL 200MG CAPSULA ,94,78,39,81,60,105,77,113,93,132,156,95,94,0,"0,40",5,4,4,6,"0,3171",4,SUAV,"0,1%","94,6%",B,
H004701,HEPARINA SODICA 5.000 UI/ML SOL. INYECTABLE,69,92,85,116,114,23,74,64,93,109,118,157,93,0,"0,19",4,4,4,6,"0,3497",4,SUAV,"0,1%","94,7%",B,
718798,SERTRALINA TABLETA 50MG,138,118,38,40,105,87,115,114,93,142,56,45,91,0,"0,03",3,4,4,5,"0,3964",3,SUAV,"0,1%","94,7%",B,
717219,"CLONAZEPAM TABLETA 0,5 MG ",72,115,101,85,81,96,84,31,0,153,175,66,89,1,"0,01",4,3,3,6,"0,5083",3,SUAV,"0,1%","94,8%",B,
C0000047,"CARVEDILOL TABLETA 12,5MG",142,100,146,69,97,45,103,59,64,86,44,98,88,0,"0,31",2,3,3,5,"0,3652",3,SUAV,"0,1%","94,8%",B,
702240,GUANTE ESTERIL 6.5 (PAR),0,0,0,0,0,0,34,245,369,0,199,183,86,7,"0,40",8,3,3,13,"1,4321",3,SUAV,"0,1%","94,9%",B,
701865,VENDA ELASTICA 6X5,73,106,80,83,105,89,124,105,86,68,58,49,86,0,"0,18",3,3,3,5,"0,2435",3,SUAV,"0,1%","94,9%",B,
719819,LINEZOLID 600MG SOL. INYECTABLE ,71,104,61,81,52,54,77,56,129,43,141,140,85,0,"0,19",4,3,3,5,"0,4012",3,SUAV,"0,1%","95,0%",B,
702051,SONDA NELATON # 8,55,70,63,183,53,27,95,142,134,75,75,43,85,0,"0,00",3,3,3,7,"0,5185",3,SUAV,"0,1%","95,0%",B,
730039,"RECONVAN SOLUCIÓN ORAL 1,0KCAL/1ML (500KCAL/500ML)) ALIMENTO LÍQUIDO PARA ADMI",0,45,52,60,32,94,250,189,88,69,21,88,83,1,"0,09",4,3,3,9,"0,8212",3,SUAV,"0,0%","95,1%",B,
715794,GLUTAPAK R POLVO PARA SOLUCIÓN ORAL 15G) ALIMENTO A BASE DE GLUTAMINA Y LACTOB,77,133,51,124,30,49,75,82,105,100,126,37,83,0,"0,00",3,3,3,5,"0,4116",3,SUAV,"0,0%","95,1%",B,
700968,"ENSURE SOLUCIÓN ORAL 1,05KCAL/1ML (248,9KCAL/237ML) ALIMENTO LIQUIDO CON PROTEÍN",107,70,71,138,140,75,38,25,3,187,104,20,82,0,"0,04",3,3,3,7,"0,6512",3,SUAV,"0,0%","95,2%",B,
120900,"(FRESUBIN HP ENERGY SOLUCIÓN ORAL 1,5KCAL/1ML (750KCAL/500ML)) ALIMENTO LÍQUIDO ",24,20,105,92,60,189,42,48,46,107,9,227,81,0,"0,10",5,3,3,8,"0,8031",3,SUAV,"0,0%","95,2%",B,
701277,BOLSA NUTRICION ENTERAL 1500 ML,22,47,42,28,69,81,110,116,120,91,124,112,81,0,"0,79",5,3,3,5,"0,4451",3,SUAV,"0,0%","95,3%",B,
710111,SEDA 2-0 SS623 (SC-2) SOFSILK RECTA,64,80,85,85,78,74,69,82,82,82,109,62,80,0,"0,05",3,3,3,4,"0,1461",3,PROM,"0,0%","95,3%",B,
705297,PIRIDOXINA CÁPSULA 50MG (VITAMINA B6),98,95,30,46,41,35,102,96,94,67,117,119,79,0,"0,20",4,3,3,4,"0,3955",3,SUAV,"0,0%","95,4%",B,
700860,EPINEFRINA 1MG/ML SOL. INYECTABLE ,50,67,117,110,77,84,101,53,102,74,63,34,78,0,"0,09",3,3,3,4,"0,3182",3,SUAV,"0,0%","95,4%",B,
702074,S/TRACH-CARE 14FR S/CERRADO/LARGA 22106,66,66,83,76,78,94,85,72,89,45,75,89,77,0,"0,01",3,3,3,4,"0,1664",3,SUAV,"0,0%","95,5%",C,
702627,LINER FLEX 1000CC TAPA AZUL-GEL SOLIDIFICANTE,64,60,64,74,77,104,78,85,78,78,84,77,77,0,"0,27",3,3,2,4,"0,1443",3,PROM,"0,0%","95,5%",C,
702358,CYSTOFLOW 2000 ML ADULTO,74,74,70,71,83,78,84,81,75,84,72,64,76,0,"0,00",3,3,3,3,"0,0793",3,PROM,"0,0%","95,6%",C,
718001,ESCITALOPRAN 10MG TABLETA ,87,106,60,44,64,84,124,72,146,31,51,20,75,0,"0,08",2,3,3,5,"0,4787",3,SUAV,"0,0%","95,6%",C,
701942,BATA T/XL (BATA PACIENTE),59,121,130,87,85,97,84,73,76,82,0,0,75,2,"0,47",1,3,3,5,"0,5093",3,SUAV,"0,0%","95,7%",C,
702626,LINER FLEX 1500CC TAPA AZUL - GEL SOLIDIFICANTE,32,72,72,79,63,67,88,69,79,74,95,97,74,0,"0,52",4,3,3,4,"0,2201",3,SUAV,"0,0%","95,7%",C,
701848,BACTIGRAS 15X20 ,91,90,54,76,96,98,77,61,51,56,79,55,74,0,"0,27",2,3,2,4,"0,2283",3,SUAV,"0,0%","95,7%",C,
708852,TRAMPA DE LUKEN    ,51,56,39,52,47,70,67,56,70,59,129,171,73,0,"0,53",5,3,3,6,"0,5052",3,SUAV,"0,0%","95,8%",C,
715623,OXICODONA TABLETA DE LIBERACIÓN CONTROLADA 10MG ,41,63,94,78,30,179,83,167,49,0,41,43,73,1,"0,03",2,3,3,6,"0,7011",3,SUAV,"0,0%","95,8%",C,
F008701,FITOMENADIONA 10MG/1ML SOL. INYECTABLE (VITAMINA K),64,53,77,111,81,71,54,52,80,64,82,68,72,0,"0,00",3,3,3,4,"0,2202",3,SUAV,"0,0%","95,9%",C,
E008012,ESPIRONOLACTONA 100MG TABLETA ,52,143,61,93,95,67,34,58,65,81,72,36,72,0,"0,17",2,3,3,5,"0,3932",3,SUAV,"0,0%","95,9%",C,
719059,METADONA TABLETA 10MG ,51,80,0,41,65,41,61,55,60,8,168,203,70,1,"0,31",5,3,3,7,"0,8103",3,SUAV,"0,0%","96,0%",C,
D009705,DEXTROSA AL 10% AGUA DESTILADA 250 ML,76,60,70,75,86,47,52,44,64,77,99,87,70,0,"0,07",3,3,3,4,"0,2318",3,SUAV,"0,0%","96,0%",C,
700646,MILRINONA SOL. INYECTABLE 10MG/10ML,84,72,69,133,71,61,60,83,38,84,16,68,70,0,"0,21",2,3,3,5,"0,3838",3,SUAV,"0,0%","96,0%",C,
N002141,NAPROXENO TABLETA 250MG,61,46,183,100,106,37,121,58,14,60,30,1,69,0,"0,28",1,3,3,7,"0,7126",3,SUAV,"0,0%","96,1%",C,
L003011,LEVODOPA/CARBIDOPA TABLETA 250MG/25MG,98,101,125,116,14,43,107,95,55,56,8,0,69,1,"0,46",1,3,3,5,"0,6187",3,SUAV,"0,0%","96,1%",C,
T020702,TRAMADOL SOL. INYECTABLE 100MG/2ML,17,38,155,74,46,87,113,86,108,15,26,31,67,0,"0,03",2,3,3,6,"0,6363",3,SUAV,"0,0%","96,2%",C,
700067,TRIMETOPRIM/SULFAMETOXAZOL TABLETA 160MG/800MG,74,27,64,131,61,41,56,46,52,38,76,104,65,0,"0,01",3,3,3,5,"0,4317",3,SUAV,"0,0%","96,2%",C,
K0000008,POLIETILENGLICOL/SODIO SULFATO/SODIO BICARBONATO/SODIO CLORURO/POTASIO CLORURO P,43,68,78,56,48,68,69,67,40,76,87,61,64,0,"0,09",3,3,3,3,"0,2152",3,SUAV,"0,0%","96,2%",C,
A008011,ALBENDAZOL TABLETA 200 MG,50,62,37,103,81,92,46,44,26,69,51,92,63,0,"0,00",3,3,3,4,"0,3737",3,SUAV,"0,0%","96,3%",C,
718747,RIFAXIMINA CÁPSULA 200MG,25,109,166,55,98,0,68,49,4,127,0,46,63,2,"0,10",2,3,3,6,"0,8129",3,SUAV,"0,0%","96,3%",C,
C003102,"CALCITRIOL 0,50MCG CÁPSULA ",106,72,58,79,84,37,23,82,19,24,11,144,62,0,"0,05",2,3,3,5,"0,6244",3,SUAV,"0,0%","96,3%",C,
719275,AGUJA P/INSULINA TIPO LAPICERO,95,21,20,163,99,38,11,60,37,61,81,54,62,0,"0,01",2,3,3,6,"0,6640",3,SUAV,"0,0%","96,4%",C,
717763,LACOSAMIDA TABLETA 100MG,0,32,0,135,91,69,0,0,0,239,53,110,61,5,"0,12",4,3,3,8,"1,1595",3,SUAV,"0,0%","96,4%",C,
702019,SONDA ENTERAL 12FR X 43 (ALIMENTACION)   ,44,50,45,52,38,85,67,58,58,51,68,96,60,0,"0,39",3,2,2,4,"0,2741",2,SUAV,"0,0%","96,5%",C,
700587,MEPERIDINA 100MG/2ML SOL. INYECTABLE,26,48,61,54,31,34,88,105,78,104,48,32,60,0,"0,12",3,2,2,4,"0,4524",2,SUAV,"0,0%","96,5%",C,
702075,S/TRACH-CARE 16FR S/CERRADO/22606,62,41,27,49,33,55,82,66,42,58,74,103,58,0,"0,38",3,2,2,4,"0,3574",2,SUAV,"0,0%","96,5%",C,
R008703,AGUA ESTERIL PARA IRRIGACION 3000 ML ,115,49,48,64,27,58,85,77,56,30,45,31,58,0,"0,22",2,2,2,4,"0,4221",2,SUAV,"0,0%","96,6%",C,
706722,CALCIO CARBONATO/VITAMINA D TABLETA 600MG/125UI,98,45,220,85,39,17,69,24,0,80,0,0,57,3,"0,34",-1,2,2,8,"1,0454",2,SUAV,"0,0%","96,6%",C,
120898,"FRESUBIN HP ENERGY SOLUCIÓN ORAL 1,5KCAL/1ML (1500KCAL/1000ML) ALIMENTO LÍQUIDO ",25,21,31,41,37,32,4,30,66,84,184,112,56,0,"0,52",5,2,2,7,"0,8588",2,SUAV,"0,0%","96,6%",C,
M011011,METFORMINA TABLETA 850MG,66,12,90,65,92,97,124,21,30,45,4,4,55,0,"0,20",1,2,2,5,"0,7093",2,SUAV,"0,0%","96,7%",C,
H011161,FERROSO SULFATO 300MG TABLETA ,12,25,24,47,28,35,63,57,53,25,97,161,53,0,"0,55",4,2,2,6,"0,7465",2,SUAV,"0,0%","96,7%",C,
730041,(FRESUBIN HP SOLUCIÓN ORAL 2KCAL/1ML (1000KCAL/500ML)) ALIMENTO LÍQUIDO PARA AD,108,0,52,126,18,1,13,56,136,10,8,97,53,1,"0,00",2,2,2,5,"0,9338",2,SUAV,"0,0%","96,7%",C,
V0000012,VASOPRESINA 20UI/ML SOL. INYECTABLE ,50,56,55,35,65,25,61,21,58,49,70,80,53,0,"0,10",3,2,2,3,"0,3181",2,SUAV,"0,0%","96,8%",C,
700142,WARFARINA SODICA TABLETA 5MG,42,71,77,69,53,69,60,70,33,43,29,11,53,0,"0,45",1,2,2,3,"0,3736",2,SUAV,"0,0%","96,8%",C,
730242,COLISTIMETATO 150 MG - EQUIVALENTE A 150 MG DE COLISTINA BASE,36,18,65,17,13,10,8,95,150,28,88,95,52,0,"0,28",4,2,2,5,"0,8456",2,SUAV,"0,0%","96,8%",C,
701930,PRESTOBARBA    ,36,52,45,66,65,64,53,45,46,41,46,55,52,0,"0,00",2,2,2,3,"0,1805",2,SUAV,"0,0%","96,8%",C,
153257,ANFOTERICINA B LIPOSOMAL 50MG POLVO LIOFILIZADO 50MG,26,0,0,90,66,50,113,72,25,94,18,54,51,2,"0,09",3,2,2,4,"0,7043",2,SUAV,"0,0%","96,9%",C,
702641,MASCARA VENTURY ADULTO,47,36,41,52,48,63,62,55,40,53,57,52,51,0,"0,18",2,2,2,3,"0,1592",2,SUAV,"0,0%","96,9%",C,
730063,SURVIMED OPD SOLUCIÓN ORAL 1KCAL/1ML (1000KCAL/1000ML)) ALIMENTO LIQUIDO OLIGO,67,102,63,38,23,89,60,29,31,78,24,0,51,1,"0,32",1,2,2,4,"0,5777",2,SUAV,"0,0%","96,9%",C,
730134,CLOROQUINA 150MG TABLETA ,49,40,89,91,99,47,25,13,74,62,4,0,50,1,"0,27",1,2,2,4,"0,6593",2,SUAV,"0,0%","97,0%",C,
A013012,ALOPURINOL TABLETA 300MG,28,24,0,74,52,93,16,81,13,92,51,53,49,1,"0,12",3,2,2,4,"0,6264",2,SUAV,"0,0%","97,0%",C,
M016011,METOCLOPRAMIDA TABLETA 10MG,20,25,104,55,30,83,23,24,49,20,88,44,48,0,"0,00",2,2,2,4,"0,5904",2,SUAV,"0,0%","97,0%",C,
A020702,AMIKACINA 500MG/2ML SOL. INYECTABLE ,23,58,40,41,100,8,50,74,54,34,29,41,46,0,"0,00",2,2,2,4,"0,5027",2,SUAV,"0,0%","97,0%",C,
730034,(FRESUBIN ORIGINAL SOLUCIÓN ORAL 1KCAL/1ML (1000KCAL/1000ML)) ALIMENTO LÍQUIDO ,94,43,58,49,55,64,42,13,11,38,36,38,46,0,"0,43",1,2,2,4,"0,4620",2,SUAV,"0,0%","97,1%",C,
707121,CIPROFLOXACINO 500MG TABLETA,41,64,3,51,30,13,83,41,78,85,30,22,46,0,"0,02",2,2,2,3,"0,5727",2,SUAV,"0,0%","97,1%",C,
701429,SEDA 2-0 623H (KS)75CM  ,64,80,85,85,60,2,0,0,0,82,17,61,45,3,"0,17",1,2,2,3,"0,7946",2,SUAV,"0,0%","97,1%",C,
P039701,"POTASIO FOSFATO DIBASICO/MONOBASICO SOLUCIÓN INYECTABLE 3,8MEQ/2,6MM/1ML (38MEQ",64,29,44,36,30,37,68,44,81,52,23,29,45,0,"0,00",2,2,2,3,"0,3850",2,SUAV,"0,0%","97,2%",C,
A034011,AZATIOPRINA 50MG TABLETA,55,60,71,36,77,64,25,8,23,46,60,8,45,0,"0,28",1,2,2,3,"0,5096",2,SUAV,"0,0%","97,2%",C,
705505,GASA ESTERIL 7.5 X 7.5 ,10,52,61,76,57,28,102,69,74,0,0,0,45,3,"0,11",1,2,2,4,"0,7496",2,SUAV,"0,0%","97,2%",C,
19973360,DOBUTAMINA 250MG/20ML SOL. INYECTABLE,71,42,55,58,42,62,25,33,15,57,29,34,44,0,"0,34",1,2,2,3,"0,3707",2,SUAV,"0,0%","97,2%",C,
700307,PREPARADO MAGISTRAL DE OMEPRAZOL ENTERAL 20 MG/10 ML,0,0,1,0,3,47,81,48,71,84,117,58,43,3,"0,74",4,2,2,4,"0,9146",2,SUAV,"0,0%","97,3%",C,
702417,HUMIDIFICADOR 3PSI,21,35,42,37,43,50,54,52,50,41,49,42,43,0,"0,38",2,2,2,2,"0,2043",2,SUAV,"0,0%","97,3%",C,
N0000018,NITAZOXANIDA TABLETA 500MG,0,0,0,0,0,0,1,0,0,4,61,436,42,8,"0,29",6,2,2,15,"2,8574",2,SUAV,"0,0%","97,3%",C,
M026721,MEROPENEM POLVO LIOFILIZADO 500MG,54,45,39,17,52,11,23,86,76,29,15,54,42,0,"0,00",2,2,2,3,"0,5474",2,SUAV,"0,0%","97,3%",C,
I017471,IPRATROPIO BROMURO SUSPENSIÓN PARA INHALACIÓN 20MCG//1PUFF/200PUFF,37,37,40,47,52,48,49,45,48,38,25,27,42,0,"0,13",2,2,2,2,"0,1979",2,SUAV,"0,0%","97,4%",C,
C008142,CEFALEXINA 500MG CAPSULA ,80,15,89,58,8,0,0,136,10,28,67,5,42,2,"0,03",1,2,2,5,"1,0047",2,SUAV,"0,0%","97,4%",C,
700980,(PEPTAMEN PREBIO SOL. ORAL 1KCAL/1ML (250KCAL/250ML)) ALIMENTO LIQUIDO CON PROTE,0,17,0,0,35,2,38,133,115,0,156,0,42,5,"0,22",4,2,2,6,"1,3347",2,SUAV,"0,0%","97,4%",C,
