,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,
CODIGO ACT.,ACTIVIDAD,JUL,AGO,SEP,OCT,NOV,DIC,ENE,FEB,MAR,ABR,MAY,JUN,PROM,PROM_ATIP,R2,REGR DIA,PROM DIA,MIN DIA,MAX DIA,CV,SUAV_EXP,MOD,%,% ACUM,ABC,GRAFICA
S004702,SODIO CLORURO SOL. INYECTABLE 20MEQ/10ML,612,1259,1228,1204,1574,1503,1627,1497,1345,1463,1454,1405,1348,0,"0,36",55,45,45,55,"0,1901",45,SUAV,"0,8%","62,9%",A,
702382,EXTENSION DE ANESTESIA ADULTO ,1490,1315,1317,1329,1187,1103,1199,1079,1156,1326,1077,1103,1224,0,"0,52",36,41,36,50,"0,1022",41,PROM,"0,7%","63,6%",A,
703735,CLORURO DE SODIO 9% SOL. INYECTABLE x 1000ML,1040,1123,985,941,1114,1370,1154,1005,1187,945,1174,1052,1091,0,"0,01",38,37,32,46,"0,1078",37,PROM,"0,7%","64,3%",A,
703645,NIFEDIPINO CÁPSULA 30MG,867,755,678,798,919,923,1410,852,1258,952,1610,2034,1088,0,"0,60",56,37,37,68,"0,3601",37,SUAV,"0,6%","64,9%",A,
703178,CLORURO DE SODIO 9% SOL. INYECTABLE x 250ML,998,1027,964,952,1141,1087,1307,942,1375,1130,1001,1055,1082,0,"0,09",39,37,32,46,"0,1223",36,PROM,"0,6%","65,6%",A,
T020701,TRAMADOL SOL. INYECTABLE 50MG/1ML,1020,1030,938,1124,1334,1288,1110,1105,1025,930,890,1032,1069,0,"0,06",34,36,30,45,"0,1207",36,PROM,"0,6%","66,2%",A,
700883,"FENTANYL 0,5MG/10ML SOL. INYECTABLE",1136,842,657,863,750,1187,1331,932,696,832,1636,1747,1051,0,"0,27",47,36,36,59,"0,3300",36,SUAV,"0,6%","66,8%",A,
M016701,METOCLOPRAMIDA SOLUCIÓN INYECTABLE 10MG/2ML,943,1201,1133,1193,1262,1000,992,1071,1101,1305,727,546,1040,0,"0,23",29,35,35,44,"0,2035",35,SUAV,"0,6%","67,5%",A,
702377,BURETROL,1222,1337,1247,1314,1060,846,921,847,783,1291,681,744,1025,0,"0,52",24,35,23,45,"0,2308",35,SUAV,"0,6%","68,1%",A,
F017701,FUROSEMIDA 20MG/2ML SOL. INYECTABLE,1018,1057,1092,925,1047,940,936,672,812,1019,1157,1180,988,0,"0,00",34,33,23,40,"0,1389",34,PROM,"0,6%","68,7%",A,
702064,SONDA SUCCION # 14  ,635,727,830,583,728,1258,1319,532,1227,1089,1382,1375,974,0,"0,50",47,33,33,47,"0,3260",33,SUAV,"0,6%","69,2%",A,
719935,ATORVASTATINA 40 MG TABLETA,978,773,918,1009,1362,1103,1135,766,715,870,855,1002,958,0,"0,03",30,32,24,46,"0,1834",33,SUAV,"0,6%","69,8%",A,
C044723,CEFALOTINA 1G SOL. INYECTABLE ,1197,1118,907,810,1167,1035,997,1098,955,753,497,442,915,0,"0,54",20,31,31,40,"0,2594",31,SUAV,"0,5%","70,4%",A,
N0000003,NOREPINEFRINA SOL. INYECTABLE 4MG/4ML,785,909,855,604,797,928,938,693,1125,625,1255,1226,895,0,"0,25",37,30,30,42,"0,2319",30,SUAV,"0,5%","70,9%",A,
704256,CLORURO DE SODIO 9% SOL. INYECTABLE x 50ML,758,778,738,897,901,918,908,839,738,831,1086,971,864,0,"0,33",33,29,25,37,"0,1158",29,PROM,"0,5%","71,4%",A,
P026011,PRAZOSINA TABLETA 1MG,706,655,555,475,741,736,1001,927,1135,696,1139,1294,839,0,"0,61",41,28,28,44,"0,2928",28,SUAV,"0,5%","71,9%",A,
703179,HARTMAN SOLUCION INYECTABLE 500 ML,654,851,954,730,707,651,1113,766,696,1001,620,689,786,0,"0,01",26,27,21,38,"0,1930",26,SUAV,"0,5%","72,4%",A,
700645,CEFEPIME 1G POLVO LIOFILIZADO,485,799,568,763,619,811,740,662,758,934,827,1034,750,0,"0,54",32,25,25,35,"0,1944",25,SUAV,"0,4%","72,8%",A,
C047011,CLONIDINA 150MCG TABLETA ,483,485,430,719,794,661,1134,720,777,828,693,1065,733,0,"0,46",34,25,25,38,"0,2809",25,SUAV,"0,4%","73,3%",A,
702210,JELCO 20G X 1-1/4,724,762,766,810,651,622,715,636,691,885,605,719,716,0,"0,03",23,24,21,30,"0,1100",24,PROM,"0,4%","73,7%",A,
C015701,CIPROFLOXACINO 100MG/10ML SOL. INYECTABLE ,743,849,593,564,795,607,641,664,1332,464,421,682,697,0,"0,01",22,24,24,45,"0,3234",24,SUAV,"0,4%","74,1%",A,
P027011,PREDNISOLONA TABLETA 5MG,851,577,869,752,844,751,576,474,578,702,441,300,643,0,"0,54",14,22,22,29,"0,2701",22,SUAV,"0,4%","74,5%",A,
700640,TRIMETOPRIM/SULFAMETOXAZOL  80MG/400MG/5ML SOL. INYECTABLE,644,310,410,383,592,406,478,1224,692,1106,640,812,642,0,"0,34",32,22,22,41,"0,4270",21,SUAV,"0,4%","74,9%",A,
C019701,CLINDAMICINA 600MG SOL. INYECTABLE ,558,766,528,514,676,773,616,645,524,598,494,624,610,0,"0,04",20,21,17,26,"0,1469",21,PROM,"0,4%","75,2%",B,
A003011,ACETILSALICILICO ÁCIDO TABLETA 100MG,626,551,681,788,745,733,708,347,456,557,505,618,610,0,"0,17",18,21,21,27,"0,2064",21,SUAV,"0,4%","75,6%",B,
M017161,METOPROLOL TABLETA 50MG,666,584,509,477,921,871,604,413,665,513,471,608,609,0,"0,04",19,21,21,31,"0,2450",21,SUAV,"0,4%","76,0%",B,
708346,JERINGA 20ML ,415,576,430,643,711,774,565,512,600,516,736,804,607,0,"0,27",25,21,14,27,"0,2038",21,SUAV,"0,4%","76,3%",B,
703672,ASCORBICO ACIDO 500MG TABLETA  (VITAMINA C),468,468,504,288,360,370,343,602,829,740,719,1400,591,0,"0,52",34,20,20,47,"0,4989",20,SUAV,"0,4%","76,7%",B,
R001011,RANITIDINA TABLETA 150MG,522,775,856,809,589,558,513,532,699,331,366,279,570,0,"0,53",11,19,19,29,"0,3157",20,SUAV,"0,3%","77,0%",B,
D009706,DEXTROSA AL 5% AGUA DESTILADA 250 ML,589,402,498,434,461,634,659,505,529,534,613,933,566,0,"0,35",24,19,19,32,"0,2375",19,SUAV,"0,3%","77,3%",B,
717389,VASO DESECHABLE 7 ONZ,877,1243,1239,1148,1020,21,0,0,0,798,0,0,529,5,"0,54",-8,18,18,42,"1,0193",19,SUAV,"0,3%","77,7%",B,
702487,TAPON HEPARINIZADO,496,587,573,655,440,442,522,517,447,464,428,385,497,0,"0,45",14,17,13,22,"0,1504",17,SUAV,"0,3%","78,0%",B,
701279,EQUIPO CON PUNZON EN CRUZ AMIKA ,430,450,535,507,415,528,565,487,430,533,450,590,494,0,"0,12",18,17,14,20,"0,1126",17,PROM,"0,3%","78,2%",B,
B010021,BISACODILO 5MG TABLETA,509,488,661,492,542,495,459,440,443,519,372,373,483,0,"0,45",13,17,13,23,"0,1533",17,SUAV,"0,3%","78,5%",B,
S014011,SUCRALFATO TABLETA 1G,286,291,382,450,592,410,504,587,590,183,801,708,482,0,"0,35",23,17,17,27,"0,3636",16,SUAV,"0,3%","78,8%",B,
E008011,ESPIRONOLACTONA 25MG TABLETA ,504,471,558,388,414,437,441,470,547,614,508,326,474,0,"0,00",16,16,11,21,"0,1605",16,SUAV,"0,3%","79,1%",B,
L015141,LOPERAMIDA TABLETA 2MG,488,375,414,468,353,604,646,298,704,343,435,540,473,0,"0,03",18,16,16,24,"0,2601",16,SUAV,"0,3%","79,4%",B,
H019701,"N-BUTILBROMURO HIOSCINA/DIPIRONA SOL. INYECTABLE 2,5G/5ML",500,401,454,561,421,512,413,503,382,559,534,266,459,0,"0,04",15,16,16,19,"0,1807",16,SUAV,"0,3%","79,7%",B,
S003701,SODIO BICARBONATO SOLUCIÓN INYECTABLE 1MEQ/1ML (10MEQ/10ML),325,478,326,549,197,186,605,346,411,505,541,852,444,0,"0,28",21,15,15,29,"0,4029",15,SUAV,"0,3%","79,9%",B,
702065,SONDA SUCCION # 16,421,479,354,527,525,539,382,643,281,371,289,500,443,0,"0,04",14,15,15,22,"0,2393",15,SUAV,"0,3%","80,2%",B,
700577,"ENOXAPARINA 60MG/0,6ML SOL. INYECTABLE ",355,494,464,511,323,544,513,379,386,387,343,385,424,0,"0,12",13,15,11,19,"0,1726",15,SUAV,"0,3%","80,4%",B,
