fecha,producto_id,demanda,categoria_abc,variabilidad,prediccion_media_movil,prediccion_regresion_lineal,prediccion_xgboost,metodo_usado,prediccion_final,error_final
2022-06-01,131589,1,C,Alta,1.6666666666666667,0.0,0.651214,XGBoost,0.6512140035629272,-0.34878599643707275
2022-04-01,134746,109,B,Media,159.66666666666666,84.19432577352472,215.1123,Regresión Lineal,84.19432577352472,-24.805674226475276
2022-05-01,134746,99,B,Media,182.33333333333334,151.68841030428337,133.65169,Regresión Lineal,151.68841030428337,52.688410304283366
2022-06-01,134746,241,B,Media,173.33333333333334,350.8918043745192,130.09668,Regresión Lineal,350.8918043745192,109.89180437451921
2022-04-01,136905,0,C,Alta,0.0,0.0,0.33112428,XGBoost,0.33112427592277527,0.33112427592277527
2022-05-01,136905,18,C,Alta,0.0,0.0,0.38514563,XGBoost,0.3851456344127655,-17.614854365587234
2022-06-01,136905,0,C,Alta,6.0,2.420004446886586,0.3898591,XGBoost,0.3898591101169586,0.3898591101169586
2022-04-01,145329,267,B,Baja,238.0,270.4729804961188,245.51501,XGBoost,245.5150146484375,-21.4849853515625
2022-05-01,145329,529,B,Baja,246.33333333333334,363.7446459572759,243.02184,XGBoost,243.02183532714844,-285.97816467285156
2022-06-01,145329,470,B,Baja,311.0,206.47846288706916,351.2784,XGBoost,351.2784118652344,-118.72158813476562
2022-04-01,145537,0,C,Alta,0.0,0.0,2.130361,XGBoost,2.1303610801696777,2.1303610801696777
2022-05-01,145537,152,C,Alta,0.0,0.0,3.2697282,XGBoost,3.269728183746338,-148.73027181625366
2022-06-01,145537,0,C,Alta,50.666666666666664,31.15682189941797,0.0,XGBoost,0.0,0.0
2022-04-01,145933,51,B,Baja,75.0,88.21935622226044,79.52003,Media móvil,75.0,24.0
2022-05-01,145933,65,B,Baja,62.333333333333336,58.322755124741306,85.66784,Media móvil,62.333333333333336,-2.6666666666666643
2022-06-01,145933,58,B,Baja,64.0,73.64409898555859,78.70537,Media móvil,64.0,6.0
2022-04-01,151766,169,C,Alta,0.0,0.0,1.9287386,XGBoost,1.9287385940551758,-167.07126140594482
2022-05-01,151766,0,C,Alta,56.333333333333336,36.07066878474573,4.1791096,XGBoost,4.179109573364258,4.179109573364258
2022-06-01,151766,0,C,Alta,56.333333333333336,36.72440126251783,14.1813,XGBoost,14.181300163269043,14.181300163269043
2022-04-01,152912,29,C,Media,43.666666666666664,68.08917836617024,40.862354,XGBoost,40.86235427856445,11.862354278564453
2022-05-01,152912,4,C,Media,34.333333333333336,17.54783021448027,36.28069,XGBoost,36.28068923950195,32.28068923950195
2022-06-01,152912,0,C,Media,33.333333333333336,75.6078532628212,18.67286,XGBoost,18.67285919189453,18.67285919189453
