fecha,producto_id,demanda,categoria_abc,variabilidad,usar_ml,prediccion_xgboost,prediccion_baseline_3m,prediccion_final,metodo_usado,error_final
2023-10-01,1001,51.0,A,Media,True,30.625778,27.666666666666668,30.625778198242188,XGBoost,-20.374221801757812
2023-11-01,1001,44.0,A,Media,True,33.726257,44.666666666666664,33.72625732421875,XGBoost,-10.27374267578125
2023-12-01,1001,45.0,A,Media,True,33.148163,44.666666666666664,33.148162841796875,XGBoost,-11.851837158203125
2023-10-01,1002,69.0,A,Alta,True,47.198048,12.333333333333334,47.19804763793945,XGBoost,-21.801952362060547
2023-11-01,1002,24.0,A,Alta,True,40.09614,28.333333333333332,40.09614181518555,XGBoost,16.096141815185547
2023-12-01,1002,0.0,A,Alta,True,0.23243609,31.0,0.23243609070777893,XGBoost,0.23243609070777893
2023-10-01,1003,0.0,A,Alta,True,0.24043621,19.0,0.24043621122837067,XGBoost,0.24043621122837067
2023-11-01,1003,11.0,A,Alta,True,0.005907591,12.333333333333334,0.005907590966671705,XGBoost,-10.994092409033328
2023-12-01,1003,47.0,A,Alta,True,45.300198,16.0,45.30019760131836,XGBoost,-1.6998023986816406
2023-10-01,1004,0.0,A,Alta,True,0.02496309,26.0,0.02496309019625187,XGBoost,0.02496309019625187
2023-11-01,1004,1.0,A,Alta,True,21.31536,9.0,21.315359115600586,XGBoost,20.315359115600586
2023-12-01,1004,11.0,A,Alta,True,11.799683,9.333333333333334,11.7996826171875,XGBoost,0.7996826171875
2023-10-01,1005,0.0,A,Alta,True,0.0,12.0,0.0,XGBoost,0.0
2023-11-01,1005,71.0,A,Alta,True,38.223225,12.0,38.22322463989258,XGBoost,-32.77677536010742
2023-12-01,1005,28.0,A,Alta,True,31.779522,28.666666666666668,31.779521942138672,XGBoost,3.779521942138672
2023-10-01,1006,0.0,A,Alta,True,0.042272612,36.0,0.04227261245250702,XGBoost,0.04227261245250702
2023-11-01,1006,22.0,A,Alta,True,24.207224,36.0,24.207223892211914,XGBoost,2.207223892211914
2023-12-01,1006,0.0,A,Alta,True,0.0,43.333333333333336,0.0,XGBoost,0.0
2023-10-01,1007,0.0,C,Alta,True,0.0,5.333333333333333,0.0,XGBoost,0.0
2023-11-01,1007,0.0,C,Alta,True,0.022420451,5.333333333333333,0.022420451045036316,XGBoost,0.022420451045036316
2023-12-01,1007,0.0,C,Alta,True,0.33437046,0.0,0.3343704640865326,XGBoost,0.3343704640865326
2023-10-01,1008,24.0,A,Media,True,48.46683,24.0,48.46683120727539,XGBoost,24.46683120727539
2023-11-01,1008,0.0,A,Media,True,0.29449278,32.0,0.29449278116226196,XGBoost,0.29449278116226196
2023-12-01,1008,99.0,A,Media,True,75.64876,18.666666666666668,75.64875793457031,XGBoost,-23.351242065429688
2023-10-01,1009,0.0,A,Alta,True,0.12630205,11.0,0.12630204856395721,XGBoost,0.12630204856395721
2023-11-01,1009,14.0,A,Alta,True,25.540205,11.0,25.540205001831055,XGBoost,11.540205001831055
2023-12-01,1009,0.0,A,Alta,True,0.026325826,4.666666666666667,0.026325825601816177,XGBoost,0.026325825601816177
